sort_rank,invoice_number,customer_name,order_date_display,order_sort_key
1,260131G92DX82T,อ******ง,02/02/26,02/02/26 14:41
2,260131G0C2MCEW,จ******ย,02/02/26,02/02/26 14:42
3,260131G2CMA1EN,ว******์,02/02/26,02/02/26 14:42
4,260131GBWQ1NW5,พ******์,02/02/26,02/02/26 14:43
5,260131GHDA3TAQ,A***N,02/02/26,02/02/26 14:43
6,260131GPB8JTVF,D**a,02/02/26,02/02/26 14:43
7,260131FB3P7FGT,แ****ย,02/02/26,02/02/26 16:21
8,260131FQV940BT,จ*****ั,02/02/26,02/02/26 16:50
9,260105810C0JE2,ด******น,05/01/26,05/01/26 11:27
10,26010582NN6FNA,ธ******),05/01/26,05/01/26 11:48
11,26010581WHPEX8,ป******์,05/01/26,05/01/26 12:00
12,2601058PDXBJQ5,ร******์,06/01/26,06/01/26 11:48
13,260105959WDSN7,เ******ณ,06/01/26,06/01/26 11:48
14,26010595Q6U82K,ณ******า,06/01/26,06/01/26 11:48
15,26010599701PQ0,ว******น,06/01/26,06/01/26 11:48
16,2601059ADWJVVM,ห******ล,06/01/26,06/01/26 11:48
17,2601059EGUXXM6,โ******ี,06/01/26,06/01/26 11:48
18,2601058C604XGP,ซ******่,06/01/26,06/01/26 14:52
19,2601058EUNWKJ2,ว******์,06/01/26,06/01/26 14:52
20,2601058NWHUKTC,ย**ม,06/01/26,06/01/26 14:52
21,260105906DKHTJ,N******n,06/01/26,06/01/26 14:52
22,260105973C4JTK,อ******์,06/01/26,06/01/26 14:52
23,26010598NK3YKF,จ******ี,06/01/26,06/01/26 14:52
24,2601059AUSWN5U,ศ******ร,06/01/26,06/01/26 14:52
25,2601069NA912J6,พ******),06/01/26,06/01/26 14:52
26,260106AG8EUA39,ธ******์,06/01/26,06/01/26 14:52
27,260106AGPQNCQT,น***ร,06/01/26,06/01/26 14:52
28,260106ANVWBB33,น*ำ,06/01/26,06/01/26 14:52
29,260106APQ1QVC1,ส******์,06/01/26,06/01/26 14:52
30,260106AQGYEASY,ม******),06/01/26,06/01/26 14:52
31,260106ASUQ7K0N,ช******ล,06/01/26,06/01/26 14:52
32,260106AVE44A37,ส******ง,06/01/26,06/01/26 14:52
33,260106BPFU6K8Y,ญ******์,07/01/26,07/01/26 15:33
34,260106BST145HJ,พ******ล,07/01/26,07/01/26 15:33
35,260106BW6KAN9J,ช******ง,07/01/26,07/01/26 15:33
36,260106C17A8E9J,น****ย,07/01/26,07/01/26 15:33
37,260106C1KRWWMD,ข******ม,07/01/26,07/01/26 15:33
38,260107CY36DQWN,ร******ง,07/01/26,07/01/26 15:33
39,260106AW7FPCX9,ว******์,07/01/26,07/01/26 15:55
40,260106AY8YVD6E,น******ล,07/01/26,07/01/26 15:55
41,260106B0MPY3N9,โ******ง,07/01/26,07/01/26 15:55
42,260106B4UJ9MFY,N******t,07/01/26,07/01/26 15:55
43,260106B7BXBM89,ณ******์,07/01/26,07/01/26 15:55
44,260106B8H9AB9R,ส******ฑ,07/01/26,07/01/26 15:55
45,260106BET44FQF,จ******ำ,07/01/26,07/01/26 15:55
46,260106BJ7F4FYX,น*****า,07/01/26,07/01/26 15:55
47,260106BK5M7FAD,ช******ช,07/01/26,07/01/26 15:55
48,260106BKEEJPRA,ค******ณ,07/01/26,07/01/26 15:55
49,260107CQ3FU8E1,น******ว,07/01/26,07/01/26 15:55
50,260107D0XAF5YN,พ******),07/01/26,07/01/26 15:55
51,260107D4AEENT4,บ******),07/01/26,07/01/26 15:55
52,260107D8NRTN7Q,ส******​,07/01/26,07/01/26 15:55
53,260107EBVHBWDJ,พ******ฑ,08/01/26,08/01/26 12:40
54,260107EHK0Q3BY,ว******),08/01/26,08/01/26 12:40
55,260108EKFQAC69,น******ข,08/01/26,08/01/26 12:40
56,260108ESHWGE7M,จ******ม,08/01/26,08/01/26 12:40
57,260107DHUUR8Q0,ช******์,08/01/26,08/01/26 15:38
58,260107DMGF668S,ป******์,08/01/26,08/01/26 15:38
59,260107DS59UK3E,ณ******ญ,08/01/26,08/01/26 15:38
60,260107DTK4KSRT,ช******ด,08/01/26,08/01/26 15:38
61,260107E1RG3WKY,ช******ต,08/01/26,08/01/26 15:38
62,260107ECR7AUBM,ณ******ง,08/01/26,08/01/26 15:38
63,260107ED7R5J7S,ธ******ร,08/01/26,08/01/26 15:38
64,260107EEFP32F5,ว******ร,08/01/26,08/01/26 15:38
65,260107EHKB7G5H,ภ******า,08/01/26,08/01/26 15:38
66,260108EN5KJ1HQ,น******g,08/01/26,08/01/26 15:38
67,260108EQW4JTCN,อ******ล,08/01/26,08/01/26 15:38
68,260108FGP2XTDK,ม******),08/01/26,08/01/26 15:38
69,260108FH9U87YS,M******),08/01/26,08/01/26 15:38
70,260108FKPE7HX8,ช******ร,08/01/26,08/01/26 15:38
71,260108FMFRTJW7,อ******ด,08/01/26,08/01/26 15:38
72,260108FNDNA17J,Z******g,08/01/26,08/01/26 15:38
73,260108FNF8UC5B,ส******ง,08/01/26,08/01/26 15:38
74,260108FQ43QEGE,ร******ง,08/01/26,08/01/26 15:38
75,260108FSEWCS4X,พ******),08/01/26,08/01/26 15:38
76,260108FT5DFSF0,ส******น,08/01/26,08/01/26 15:38
77,260107DJ7KFNYX,ม******์,08/01/26,08/01/26 15:39
78,260107DK5NRSD7,ภ******ล,08/01/26,08/01/26 15:39
79,260107DP970J8D,ว******์,08/01/26,08/01/26 15:39
80,260107DU994SD4,น******า,08/01/26,08/01/26 15:39
81,260107DUCYCREW,ก******.,08/01/26,08/01/26 15:39
82,260108EQK51MM3,แ******์,08/01/26,08/01/26 15:39
83,260108ER551DT8,แ******์,08/01/26,08/01/26 15:39
84,260108F2276EEB,ล******า,08/01/26,08/01/26 15:39
85,260108F8TKUVER,ก****ย,08/01/26,08/01/26 15:39
86,260108FDMJGV0D,ป******),08/01/26,08/01/26 15:39
87,260108FK889AB6,ป***ม,08/01/26,08/01/26 15:39
88,260108FKPE7HXX,ย******ิ,08/01/26,08/01/26 15:39
89,260108FY26REAS,อ******อ,09/01/26,09/01/26 16:56
90,260108FYH5FRE8,ภ******์,09/01/26,09/01/26 16:56
91,260108G08QSHK2,ย******์,09/01/26,09/01/26 16:56
92,260108G6RX7YUG,ส******์,09/01/26,09/01/26 16:56
93,260108G7V7CR2D,J*b,09/01/26,09/01/26 16:56
94,260108G82W047H,ค******ณ,09/01/26,09/01/26 16:56
95,260108GAFKRGK4,พ******์,09/01/26,09/01/26 16:56
96,260108GFM8TTG5,ว******ร,09/01/26,09/01/26 16:56
97,260108GJDVFN94,ก******า,09/01/26,09/01/26 16:56
98,260108GU0BTJFB,ค*****ก,09/01/26,09/01/26 16:56
99,260108GVNPXCNX,น******ร,09/01/26,09/01/26 16:56
100,260108GY1NUK01,ธ******์,09/01/26,09/01/26 16:56
101,260109H3BP7WKS,ส******),09/01/26,09/01/26 16:56
102,260109HVMSKANM,จ******์,09/01/26,09/01/26 16:56
103,260109HYBTBS6B,ฝ**ย,09/01/26,09/01/26 16:56
104,260109J10N72TS,อ******พ,09/01/26,09/01/26 16:56
105,260109J4N36UDP,ศ******ย,09/01/26,09/01/26 16:56
106,260109JCSQ2T77,ก***า,09/01/26,09/01/26 16:56
107,260108G266ASMR,ข******ล,09/01/26,09/01/26 16:57
108,260108G3A88PR7,บ******่,09/01/26,09/01/26 16:57
109,260108G45B5PRQ,ศ******ง,09/01/26,09/01/26 16:57
110,260108G6YWAEJX,ธ******ี,09/01/26,09/01/26 16:57
111,260108GE7Q2SNJ,น******์,09/01/26,09/01/26 16:57
112,260108GHUSMER1,พ******ม,09/01/26,09/01/26 16:57
113,260108GQERD1T4,ค*****ง,09/01/26,09/01/26 16:57
114,260108GQJBT087,ค******ี,09/01/26,09/01/26 16:57
115,260108GRFBREMY,ส******ญ,09/01/26,09/01/26 16:57
116,260108GVVEE4M1,น******ะ,09/01/26,09/01/26 16:57
117,260108GWGWJ4RY,ม******์,09/01/26,09/01/26 16:57
118,260108GYHAG4NT,อ******ล,09/01/26,09/01/26 16:57
119,260108H02687VX,อ******ง,09/01/26,09/01/26 16:57
120,260109H6K6BFEK,k******w,09/01/26,09/01/26 16:57
121,260109HRQDEBBJ,จ******ม,09/01/26,09/01/26 16:57
122,260109HWYWKFRS,บ******ว,09/01/26,09/01/26 16:57
123,260108GTK5AW4U,ม******า,09/01/26,09/01/26 16:58
124,260109HXX1QV97,R******n,09/01/26,09/01/26 16:58
125,260108GDAGFMF0,อ******น,10/01/26,10/01/26 11:53
126,260109J1G1A8G0,ธ******ข,10/01/26,10/01/26 11:53
127,260109KAACNH2N,อ******ย,10/01/26,10/01/26 11:53
