bill_number,invoice_number,customer_name,order_date,order_sort_key,order_index
2600001,260131G92DX82T,อ******ง,02/02/26,02/02/26 14:41,0
2600002,260131G0C2MCEW,จ******ย,02/02/26,02/02/26 14:42,1
2600003,260131G2CMA1EN,ว******์,02/02/26,02/02/26 14:42,2
2600004,260131GBWQ1NW5,พ******์,02/02/26,02/02/26 14:43,3
2600005,260131GHDA3TAQ,A***N,02/02/26,02/02/26 14:43,4
2600006,260131GPB8JTVF,D**a,02/02/26,02/02/26 14:43,5
2600007,260131FB3P7FGT,แ****ย,02/02/26,02/02/26 16:21,6
2600008,260131FQV940BT,จ*****ั,02/02/26,02/02/26 16:50,7
2600009,260105810C0JE2,ด******น,05/01/26,05/01/26 11:27,8
2600010,26010582NN6FNA,ธ******),05/01/26,05/01/26 11:48,9
2600011,26010581WHPEX8,ป******์,05/01/26,05/01/26 12:00,10
2600012,2601058PDXBJQ5,ร******์,06/01/26,06/01/26 11:48,11
2600013,260105959WDSN7,เ******ณ,06/01/26,06/01/26 11:48,12
2600014,26010595Q6U82K,ณ******า,06/01/26,06/01/26 11:48,13
2600015,26010599701PQ0,ว******น,06/01/26,06/01/26 11:48,14
2600016,2601059ADWJVVM,ห******ล,06/01/26,06/01/26 11:48,15
2600017,2601059EGUXXM6,โ******ี,06/01/26,06/01/26 11:48,16
2600018,2601058C604XGP,ซ******่,06/01/26,06/01/26 14:52,17
2600019,2601058EUNWKJ2,ว******์,06/01/26,06/01/26 14:52,18
2600020,2601058NWHUKTC,ย**ม,06/01/26,06/01/26 14:52,19
2600021,260105906DKHTJ,N******n,06/01/26,06/01/26 14:52,20
2600022,260105973C4JTK,อ******์,06/01/26,06/01/26 14:52,21
2600023,26010598NK3YKF,จ******ี,06/01/26,06/01/26 14:52,22
2600024,2601059AUSWN5U,ศ******ร,06/01/26,06/01/26 14:52,23
2600025,2601069NA912J6,พ******),06/01/26,06/01/26 14:52,24
2600026,260106AG8EUA39,ธ******์,06/01/26,06/01/26 14:52,25
2600027,260106AGPQNCQT,น***ร,06/01/26,06/01/26 14:52,26
2600028,260106ANVWBB33,น*ำ,06/01/26,06/01/26 14:52,27
2600029,260106APQ1QVC1,ส******์,06/01/26,06/01/26 14:52,28
2600030,260106AQGYEASY,ม******),06/01/26,06/01/26 14:52,29
2600031,260106ASUQ7K0N,ช******ล,06/01/26,06/01/26 14:52,30
2600032,260106AVE44A37,ส******ง,06/01/26,06/01/26 14:52,31
2600033,260106BPFU6K8Y,ญ******์,07/01/26,07/01/26 15:33,32
2600034,260106BST145HJ,พ******ล,07/01/26,07/01/26 15:33,33
2600035,260106BW6KAN9J,ช******ง,07/01/26,07/01/26 15:33,34
2600036,260106C17A8E9J,น****ย,07/01/26,07/01/26 15:33,35
2600037,260106C1KRWWMD,ข******ม,07/01/26,07/01/26 15:33,36
2600038,260107CY36DQWN,ร******ง,07/01/26,07/01/26 15:33,37
